Year,Type of economic activity,Organisation and legal forms,Region,Value
2022,manufacture_of_ceramic_sanitary_fixtures,,,33.3
2023,manufacture_of_ceramic_sanitary_fixtures,,,25.0
2024,manufacture_of_ceramic_sanitary_fixtures,,,16.7
2025,manufacture_of_ceramic_sanitary_fixtures,,,
2015,manufacture_of_ceramic_insulators_and_insulating_fittings,,,
2016,manufacture_of_ceramic_insulators_and_insulating_fittings,,,
2017,manufacture_of_ceramic_insulators_and_insulating_fittings,,,
2018,manufacture_of_ceramic_insulators_and_insulating_fittings,,,
2019,manufacture_of_ceramic_insulators_and_insulating_fittings,,,
2020,manufacture_of_ceramic_insulators_and_insulating_fittings,,,
2021,manufacture_of_ceramic_insulators_and_insulating_fittings,,,7.7
2022,manufacture_of_ceramic_insulators_and_insulating_fittings,,,11.1
2023,manufacture_of_ceramic_insulators_and_insulating_fittings,,,12.5
2024,manufacture_of_ceramic_insulators_and_insulating_fittings,,,16.7
2025,manufacture_of_ceramic_insulators_and_insulating_fittings,,,
2015,manufacture_of_other_technical_ceramic_products,,,
2016,manufacture_of_other_technical_ceramic_products,,,
2017,manufacture_of_other_technical_ceramic_products,,,
2018,manufacture_of_other_technical_ceramic_products,,,
2019,manufacture_of_other_technical_ceramic_products,,,
2020,manufacture_of_other_technical_ceramic_products,,,
2021,manufacture_of_other_technical_ceramic_products,,,7.7
2022,manufacture_of_other_technical_ceramic_products,,,8.3
2023,manufacture_of_other_technical_ceramic_products,,,18.2
2024,manufacture_of_other_technical_ceramic_products,,,16.7
2025,manufacture_of_other_technical_ceramic_products,,,
2015,manufacture_of_other_ceramic_products,,,
2016,manufacture_of_other_ceramic_products,,,
2017,manufacture_of_other_ceramic_products,,,
2018,manufacture_of_other_ceramic_products,,,
2019,manufacture_of_other_ceramic_products,,,
2020,manufacture_of_other_ceramic_products,,,
2021,manufacture_of_other_ceramic_products,,,20.0
2022,manufacture_of_other_ceramic_products,,,23.1
2023,manufacture_of_other_ceramic_products,,,13.3
2024,manufacture_of_other_ceramic_products,,,18.2
2025,manufacture_of_other_ceramic_products,,,
2015,manufacture_of_cement,,,
2016,manufacture_of_cement,,,
2017,manufacture_of_cement,,,
2018,manufacture_of_cement,,,
2019,manufacture_of_cement,,,
2020,manufacture_of_cement,,,
2021,manufacture_of_cement,,,21.7
2022,manufacture_of_cement,,,19.0
2023,manufacture_of_cement,,,22.7
2024,manufacture_of_cement,,,29.4
2025,manufacture_of_cement,,,
2015,manufacture_of_lime_and_plaster,,,
2016,manufacture_of_lime_and_plaster,,,
2017,manufacture_of_lime_and_plaster,,,
2018,manufacture_of_lime_and_plaster,,,
2019,manufacture_of_lime_and_plaster,,,
2020,manufacture_of_lime_and_plaster,,,
2021,manufacture_of_lime_and_plaster,,,
2022,manufacture_of_lime_and_plaster,,,
2023,manufacture_of_lime_and_plaster,,,5.3
2024,manufacture_of_lime_and_plaster,,,17.4
2025,manufacture_of_lime_and_plaster,,,
2015,manufacture_of_concrete_products_for_construction_purposes,,,
2016,manufacture_of_concrete_products_for_construction_purposes,,,
2017,manufacture_of_concrete_products_for_construction_purposes,,,
2018,manufacture_of_concrete_products_for_construction_purposes,,,
2019,manufacture_of_concrete_products_for_construction_purposes,,,
2020,manufacture_of_concrete_products_for_construction_purposes,,,
2021,manufacture_of_concrete_products_for_construction_purposes,,,15.0
2022,manufacture_of_concrete_products_for_construction_purposes,,,15.4
2023,manufacture_of_concrete_products_for_construction_purposes,,,15.3
2024,manufacture_of_concrete_products_for_construction_purposes,,,17.5
2025,manufacture_of_concrete_products_for_construction_purposes,,,
2015,manufacture_of_plaster_products_for_construction_purposes,,,
2016,manufacture_of_plaster_products_for_construction_purposes,,,
2017,manufacture_of_plaster_products_for_construction_purposes,,,
2018,manufacture_of_plaster_products_for_construction_purposes,,,
2019,manufacture_of_plaster_products_for_construction_purposes,,,
2020,manufacture_of_plaster_products_for_construction_purposes,,,
2021,manufacture_of_plaster_products_for_construction_purposes,,,8.0
2022,manufacture_of_plaster_products_for_construction_purposes,,,4.3
2023,manufacture_of_plaster_products_for_construction_purposes,,,8.3
2024,manufacture_of_plaster_products_for_construction_purposes,,,13.3
2025,manufacture_of_plaster_products_for_construction_purposes,,,
2015,manufacture_of_ready_mixed_concrete,,,
2016,manufacture_of_ready_mixed_concrete,,,
2017,manufacture_of_ready_mixed_concrete,,,
2018,manufacture_of_ready_mixed_concrete,,,
2019,manufacture_of_ready_mixed_concrete,,,
2020,manufacture_of_ready_mixed_concrete,,,
2021,manufacture_of_ready_mixed_concrete,,,16.4
2022,manufacture_of_ready_mixed_concrete,,,15.1
2023,manufacture_of_ready_mixed_concrete,,,16.6
2024,manufacture_of_ready_mixed_concrete,,,17.8
2025,manufacture_of_ready_mixed_concrete,,,
2015,manufacture_of_mortars,,,
2016,manufacture_of_mortars,,,
2017,manufacture_of_mortars,,,
2018,manufacture_of_mortars,,,
2019,manufacture_of_mortars,,,
2020,manufacture_of_mortars,,,
2021,manufacture_of_mortars,,,15.2
2022,manufacture_of_mortars,,,16.9
2023,manufacture_of_mortars,,,18.2
2024,manufacture_of_mortars,,,22.6
2025,manufacture_of_mortars,,,
2015,manufacture_of_fibre_cement,,,
2016,manufacture_of_fibre_cement,,,
2017,manufacture_of_fibre_cement,,,
2018,manufacture_of_fibre_cement,,,
2019,manufacture_of_fibre_cement,,,
2020,manufacture_of_fibre_cement,,,
2021,manufacture_of_fibre_cement,,,14.3
2022,manufacture_of_fibre_cement,,,10.0
2023,manufacture_of_fibre_cement,,,
2024,manufacture_of_fibre_cement,,,12.5
2025,manufacture_of_fibre_cement,,,
2015,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,
2016,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,
2017,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,
2018,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,
2019,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,
2020,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,
2021,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,19.7
2022,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,25.6
2023,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,27.4
2024,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,26.8
2025,manufacture_of_other_articles_of_concrete_plaster_and_cement,,,
2015,cutting_shaping_and_finishing_of_stone,,,
2016,cutting_shaping_and_finishing_of_stone,,,
2017,cutting_shaping_and_finishing_of_stone,,,
2018,cutting_shaping_and_finishing_of_stone,,,
2019,cutting_shaping_and_finishing_of_stone,,,
2020,cutting_shaping_and_finishing_of_stone,,,
2021,cutting_shaping_and_finishing_of_stone,,,20.9
2022,cutting_shaping_and_finishing_of_stone,,,19.8
2023,cutting_shaping_and_finishing_of_stone,,,19.3
2024,cutting_shaping_and_finishing_of_stone,,,18.8
2025,cutting_shaping_and_finishing_of_stone,,,
2015,production_of_abrasive_products,,,
2016,production_of_abrasive_products,,,
2017,production_of_abrasive_products,,,
2018,production_of_abrasive_products,,,
2019,production_of_abrasive_products,,,
2020,production_of_abrasive_products,,,
2021,production_of_abrasive_products,,,17.1
2022,production_of_abrasive_products,,,15.0
2023,production_of_abrasive_products,,,10.0
2024,production_of_abrasive_products,,,7.7
2025,production_of_abrasive_products,,,
2015,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,
2016,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,
2017,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,
2018,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,
2019,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,
2020,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,
2021,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,16.0
2022,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,15.6
2023,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,13.5
2024,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,16.2
2025,manufacture_of_other_non_metallic_mineral_products_n_e_c,,,
2015,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,
2016,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,
2017,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,
2018,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,
2019,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,
2020,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,
2021,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,12.2
2022,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,7.6
2023,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,20.7
2024,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,24.6
2025,manufacture_of_basic_iron_and_steel_and_of_ferro_alloys,,,
2015,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,
2016,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,
2017,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,
2018,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,
2019,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,
2020,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,
2021,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,18.6
2022,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,20.0
2023,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,18.3
2024,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,17.7
2025,manufacture_of_tubes_pipes_hollow_profiles_and_related_fittings_of_steel,,,
2015,cold_drawing_of_bars,,,
2016,cold_drawing_of_bars,,,
2017,cold_drawing_of_bars,,,
2018,cold_drawing_of_bars,,,
2019,cold_drawing_of_bars,,,
2020,cold_drawing_of_bars,,,
2021,cold_drawing_of_bars,,,25.0
2022,cold_drawing_of_bars,,,22.2
2023,cold_drawing_of_bars,,,25.0
2024,cold_drawing_of_bars,,,
2025,cold_drawing_of_bars,,,
2015,cold_rolling_of_narrow_strip,,,
2016,cold_rolling_of_narrow_strip,,,
2017,cold_rolling_of_narrow_strip,,,
2018,cold_rolling_of_narrow_strip,,,
2019,cold_rolling_of_narrow_strip,,,
2020,cold_rolling_of_narrow_strip,,,
2021,cold_rolling_of_narrow_strip,,,16.7
2022,cold_rolling_of_narrow_strip,,,
2023,cold_rolling_of_narrow_strip,,,20.0
2024,cold_rolling_of_narrow_strip,,,25.0
2025,cold_rolling_of_narrow_strip,,,
2015,cold_forming_or_folding,,,
2016,cold_forming_or_folding,,,
2017,cold_forming_or_folding,,,
2018,cold_forming_or_folding,,,
2019,cold_forming_or_folding,,,
2020,cold_forming_or_folding,,,
2021,cold_forming_or_folding,,,21.4
2022,cold_forming_or_folding,,,18.7
2023,cold_forming_or_folding,,,19.0
2024,cold_forming_or_folding,,,23.7
2025,cold_forming_or_folding,,,
2015,cold_drawing_of_wire,,,
2016,cold_drawing_of_wire,,,
2017,cold_drawing_of_wire,,,
2018,cold_drawing_of_wire,,,
2019,cold_drawing_of_wire,,,
2020,cold_drawing_of_wire,,,
2021,cold_drawing_of_wire,,,20.9
2022,cold_drawing_of_wire,,,16.2
2023,cold_drawing_of_wire,,,22.0
2024,cold_drawing_of_wire,,,23.7
2025,cold_drawing_of_wire,,,
2015,precious_metals_production,,,
2016,precious_metals_production,,,
2017,precious_metals_production,,,
2018,precious_metals_production,,,
2019,precious_metals_production,,,
2020,precious_metals_production,,,
2021,precious_metals_production,,,11.4
2022,precious_metals_production,,,20.0
2023,precious_metals_production,,,12.9
2024,precious_metals_production,,,20.7
2025,precious_metals_production,,,
2015,aluminium_production,,,
2016,aluminium_production,,,
2017,aluminium_production,,,
2018,aluminium_production,,,
2019,aluminium_production,,,
2020,aluminium_production,,,
2021,aluminium_production,,,15.9
2022,aluminium_production,,,14.9
2023,aluminium_production,,,11.6
2024,aluminium_production,,,2.3
2025,aluminium_production,,,
2015,lead_zinc_and_tin_production,,,
2016,lead_zinc_and_tin_production,,,
2017,lead_zinc_and_tin_production,,,
2018,lead_zinc_and_tin_production,,,
2019,lead_zinc_and_tin_production,,,
2020,lead_zinc_and_tin_production,,,
2021,lead_zinc_and_tin_production,,,11.8
2022,lead_zinc_and_tin_production,,,7.7
2023,lead_zinc_and_tin_production,,,8.3
2024,lead_zinc_and_tin_production,,,8.3
2025,lead_zinc_and_tin_production,,,
2015,copper_production,,,
2016,copper_production,,,
2017,copper_production,,,
2018,copper_production,,,
2019,copper_production,,,
2020,copper_production,,,
2021,copper_production,,,6.3
2022,copper_production,,,14.3
2023,copper_production,,,13.3
2024,copper_production,,,15.4
2025,copper_production,,,
2015,other_non_ferrous_metal_production,,,
2016,other_non_ferrous_metal_production,,,
2017,other_non_ferrous_metal_production,,,
2018,other_non_ferrous_metal_production,,,
2019,other_non_ferrous_metal_production,,,
2020,other_non_ferrous_metal_production,,,
2021,other_non_ferrous_metal_production,,,11.8
2022,other_non_ferrous_metal_production,,,11.8
2023,other_non_ferrous_metal_production,,,6.2
2024,other_non_ferrous_metal_production,,,7.1
2025,other_non_ferrous_metal_production,,,
2015,nuclear_materials_production,,,
2016,nuclear_materials_production,,,
2017,nuclear_materials_production,,,
2018,nuclear_materials_production,,,
2019,nuclear_materials_production,,,
2020,nuclear_materials_production,,,
2021,nuclear_materials_production,,,
2022,nuclear_materials_production,,,
2023,nuclear_materials_production,,,
2024,nuclear_materials_production,,,
2025,nuclear_materials_production,,,
2015,casting_of_iron,,,
2016,casting_of_iron,,,
2017,casting_of_iron,,,
2018,casting_of_iron,,,
2019,casting_of_iron,,,
2020,casting_of_iron,,,
2021,casting_of_iron,,,5.7
2022,casting_of_iron,,,8.5
2023,casting_of_iron,,,13.7
2024,casting_of_iron,,,17.4
2025,casting_of_iron,,,
2015,casting_of_steel,,,
2016,casting_of_steel,,,
2017,casting_of_steel,,,
2018,casting_of_steel,,,
2019,casting_of_steel,,,
2020,casting_of_steel,,,
2021,casting_of_steel,,,11.6
2022,casting_of_steel,,,20.6
2023,casting_of_steel,,,2.8
2024,casting_of_steel,,,10.5
2025,casting_of_steel,,,
2015,casting_of_light_metals,,,
2016,casting_of_light_metals,,,
2017,casting_of_light_metals,,,
2018,casting_of_light_metals,,,
2019,casting_of_light_metals,,,
2020,casting_of_light_metals,,,
2021,casting_of_light_metals,,,7.5
2022,casting_of_light_metals,,,9.1
2023,casting_of_light_metals,,,8.7
2024,casting_of_light_metals,,,15.4
2025,casting_of_light_metals,,,
2015,casting_of_other_non_ferrous_metals,,,
2016,casting_of_other_non_ferrous_metals,,,
2017,casting_of_other_non_ferrous_metals,,,
2018,casting_of_other_non_ferrous_metals,,,
2019,casting_of_other_non_ferrous_metals,,,
2020,casting_of_other_non_ferrous_metals,,,
2021,casting_of_other_non_ferrous_metals,,,14.3
2022,casting_of_other_non_ferrous_metals,,,11.8
2023,casting_of_other_non_ferrous_metals,,,21.4
2024,casting_of_other_non_ferrous_metals,,,18.7
2025,casting_of_other_non_ferrous_metals,,,
2015,manufacture_of_metal_structures_and_parts_of_structures,,,
2016,manufacture_of_metal_structures_and_parts_of_structures,,,
2017,manufacture_of_metal_structures_and_parts_of_structures,,,
2018,manufacture_of_metal_structures_and_parts_of_structures,,,
2019,manufacture_of_metal_structures_and_parts_of_structures,,,
2020,manufacture_of_metal_structures_and_parts_of_structures,,,
2021,manufacture_of_metal_structures_and_parts_of_structures,,,16.1
2022,manufacture_of_metal_structures_and_parts_of_structures,,,15.0
2023,manufacture_of_metal_structures_and_parts_of_structures,,,16.2
2024,manufacture_of_metal_structures_and_parts_of_structures,,,18.0
2025,manufacture_of_metal_structures_and_parts_of_structures,,,
2015,manufacture_of_doors_and_windows_of_metal,,,
2016,manufacture_of_doors_and_windows_of_metal,,,
2017,manufacture_of_doors_and_windows_of_metal,,,
2018,manufacture_of_doors_and_windows_of_metal,,,
2019,manufacture_of_doors_and_windows_of_metal,,,
2020,manufacture_of_doors_and_windows_of_metal,,,
2021,manufacture_of_doors_and_windows_of_metal,,,17.4
2022,manufacture_of_doors_and_windows_of_metal,,,15.3
2023,manufacture_of_doors_and_windows_of_metal,,,18.1
2024,manufacture_of_doors_and_windows_of_metal,,,22.7
2025,manufacture_of_doors_and_windows_of_metal,,,
2015,manufacture_of_central_heating_radiators_and_boilers,,,
2016,manufacture_of_central_heating_radiators_and_boilers,,,
2017,manufacture_of_central_heating_radiators_and_boilers,,,
2018,manufacture_of_central_heating_radiators_and_boilers,,,
2019,manufacture_of_central_heating_radiators_and_boilers,,,
2020,manufacture_of_central_heating_radiators_and_boilers,,,
2021,manufacture_of_central_heating_radiators_and_boilers,,,17.2
2022,manufacture_of_central_heating_radiators_and_boilers,,,16.1
2023,manufacture_of_central_heating_radiators_and_boilers,,,16.9
2024,manufacture_of_central_heating_radiators_and_boilers,,,16.7
2025,manufacture_of_central_heating_radiators_and_boilers,,,
2015,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,
2016,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,
2017,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,
2018,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,
2019,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,
2020,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,
2021,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,18.2
2022,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,16.9
2023,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,16.7
2024,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,20.5
2025,manufacture_of_other_tanks_reservoirs_and_containers_of_metal,,,
2015,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,
2016,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,
2017,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,
2018,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,
2019,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,
2020,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,
2021,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,17.5
2022,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,10.9
2023,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,8.3
2024,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,8.9
2025,manufacture_of_steam_generators_except_central_heating_hot_water_boilers,,,
2015,manufacture_of_weapons_and_ammunition,,,
2016,manufacture_of_weapons_and_ammunition,,,
2017,manufacture_of_weapons_and_ammunition,,,
2018,manufacture_of_weapons_and_ammunition,,,
2019,manufacture_of_weapons_and_ammunition,,,
2020,manufacture_of_weapons_and_ammunition,,,
2021,manufacture_of_weapons_and_ammunition,,,11.1
2022,manufacture_of_weapons_and_ammunition,,,8.3
2023,manufacture_of_weapons_and_ammunition,,,9.9
2024,manufacture_of_weapons_and_ammunition,,,13.3
2025,manufacture_of_weapons_and_ammunition,,,
2015,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,
2016,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,
2017,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,
2018,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,
2019,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,
2020,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,
2021,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,18.1
2022,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,14.5
2023,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,17.1
2024,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,16.9
2025,forging_pressing_stamping_and_roll_forming_of_metal_powder_metallurgy,,,
2015,treatment_and_coating_of_metals,,,
2016,treatment_and_coating_of_metals,,,
2017,treatment_and_coating_of_metals,,,
2018,treatment_and_coating_of_metals,,,
2019,treatment_and_coating_of_metals,,,
2020,treatment_and_coating_of_metals,,,
2021,treatment_and_coating_of_metals,,,17.6
2022,treatment_and_coating_of_metals,,,17.2
2023,treatment_and_coating_of_metals,,,18.7
2024,treatment_and_coating_of_metals,,,21.1
2025,treatment_and_coating_of_metals,,,
2015,machining,,,
2016,machining,,,
2017,machining,,,
2018,machining,,,
2019,machining,,,
2020,machining,,,
2021,machining,,,17.0
2022,machining,,,18.0
2023,machining,,,17.5
2024,machining,,,18.7
2025,machining,,,
2015,manufacture_of_cutlery,,,
2016,manufacture_of_cutlery,,,
2017,manufacture_of_cutlery,,,
2018,manufacture_of_cutlery,,,
2019,manufacture_of_cutlery,,,
2020,manufacture_of_cutlery,,,
2021,manufacture_of_cutlery,,,20.0
2022,manufacture_of_cutlery,,,16.7
2023,manufacture_of_cutlery,,,20.0
2024,manufacture_of_cutlery,,,50.0
2025,manufacture_of_cutlery,,,
2015,manufacture_of_locks_and_hinges,,,
2016,manufacture_of_locks_and_hinges,,,
2017,manufacture_of_locks_and_hinges,,,
2018,manufacture_of_locks_and_hinges,,,
2019,manufacture_of_locks_and_hinges,,,
2020,manufacture_of_locks_and_hinges,,,
2021,manufacture_of_locks_and_hinges,,,6.5
2022,manufacture_of_locks_and_hinges,,,6.9
2023,manufacture_of_locks_and_hinges,,,10.3
2024,manufacture_of_locks_and_hinges,,,14.3
2025,manufacture_of_locks_and_hinges,,,
2015,manufacture_of_tools,,,
2016,manufacture_of_tools,,,
2017,manufacture_of_tools,,,
2018,manufacture_of_tools,,,
2019,manufacture_of_tools,,,
2020,manufacture_of_tools,,,
2021,manufacture_of_tools,,,19.4
2022,manufacture_of_tools,,,18.2
2023,manufacture_of_tools,,,17.1
2024,manufacture_of_tools,,,22.2
2025,manufacture_of_tools,,,
2015,manufacture_of_steel_drums_and_similar_containers,,,
2016,manufacture_of_steel_drums_and_similar_containers,,,
2017,manufacture_of_steel_drums_and_similar_containers,,,
2018,manufacture_of_steel_drums_and_similar_containers,,,
2019,manufacture_of_steel_drums_and_similar_containers,,,
2020,manufacture_of_steel_drums_and_similar_containers,,,
2021,manufacture_of_steel_drums_and_similar_containers,,,10.0
2022,manufacture_of_steel_drums_and_similar_containers,,,11.1
2023,manufacture_of_steel_drums_and_similar_containers,,,11.1
2024,manufacture_of_steel_drums_and_similar_containers,,,30.0
2025,manufacture_of_steel_drums_and_similar_containers,,,
2015,manufacture_of_light_metal_packaging,,,
2016,manufacture_of_light_metal_packaging,,,
2017,manufacture_of_light_metal_packaging,,,
2018,manufacture_of_light_metal_packaging,,,
2019,manufacture_of_light_metal_packaging,,,
2020,manufacture_of_light_metal_packaging,,,
2021,manufacture_of_light_metal_packaging,,,16.7
2022,manufacture_of_light_metal_packaging,,,16.7
2023,manufacture_of_light_metal_packaging,,,18.4
2024,manufacture_of_light_metal_packaging,,,23.8
2025,manufacture_of_light_metal_packaging,,,
2015,manufacture_of_wire_products_chain_and_springs,,,
2016,manufacture_of_wire_products_chain_and_springs,,,
2017,manufacture_of_wire_products_chain_and_springs,,,
2018,manufacture_of_wire_products_chain_and_springs,,,
2019,manufacture_of_wire_products_chain_and_springs,,,
2020,manufacture_of_wire_products_chain_and_springs,,,
2021,manufacture_of_wire_products_chain_and_springs,,,16.2
2022,manufacture_of_wire_products_chain_and_springs,,,17.0
2023,manufacture_of_wire_products_chain_and_springs,,,19.1
2024,manufacture_of_wire_products_chain_and_springs,,,19.3
2025,manufacture_of_wire_products_chain_and_springs,,,
2015,manufacture_of_fasteners_and_screw_machine_products,,,
2016,manufacture_of_fasteners_and_screw_machine_products,,,
2017,manufacture_of_fasteners_and_screw_machine_products,,,
2018,manufacture_of_fasteners_and_screw_machine_products,,,
2019,manufacture_of_fasteners_and_screw_machine_products,,,
2020,manufacture_of_fasteners_and_screw_machine_products,,,
2021,manufacture_of_fasteners_and_screw_machine_products,,,17.1
2022,manufacture_of_fasteners_and_screw_machine_products,,,24.1
2023,manufacture_of_fasteners_and_screw_machine_products,,,17.9
2024,manufacture_of_fasteners_and_screw_machine_products,,,16.7
2025,manufacture_of_fasteners_and_screw_machine_products,,,
2015,manufacture_of_other_fabricated_metal_products_n_e_c,,,
2016,manufacture_of_other_fabricated_metal_products_n_e_c,,,
2017,manufacture_of_other_fabricated_metal_products_n_e_c,,,
2018,manufacture_of_other_fabricated_metal_products_n_e_c,,,
2019,manufacture_of_other_fabricated_metal_products_n_e_c,,,
2020,manufacture_of_other_fabricated_metal_products_n_e_c,,,
2021,manufacture_of_other_fabricated_metal_products_n_e_c,,,15.4
2022,manufacture_of_other_fabricated_metal_products_n_e_c,,,16.4
2023,manufacture_of_other_fabricated_metal_products_n_e_c,,,17.9
2024,manufacture_of_other_fabricated_metal_products_n_e_c,,,20.1
2025,manufacture_of_other_fabricated_metal_products_n_e_c,,,
2015,manufacture_of_electronic_components,,,
2016,manufacture_of_electronic_components,,,
2017,manufacture_of_electronic_components,,,
2018,manufacture_of_electronic_components,,,
2019,manufacture_of_electronic_components,,,
2020,manufacture_of_electronic_components,,,
2021,manufacture_of_electronic_components,,,11.6
2022,manufacture_of_electronic_components,,,11.0
2023,manufacture_of_electronic_components,,,11.6
2024,manufacture_of_electronic_components,,,18.5
2025,manufacture_of_electronic_components,,,
2015,manufacture_of_loaded_electronic_boards,,,
2016,manufacture_of_loaded_electronic_boards,,,
2017,manufacture_of_loaded_electronic_boards,,,
2018,manufacture_of_loaded_electronic_boards,,,
2019,manufacture_of_loaded_electronic_boards,,,
2020,manufacture_of_loaded_electronic_boards,,,
2021,manufacture_of_loaded_electronic_boards,,,9.8
2022,manufacture_of_loaded_electronic_boards,,,5.6
2023,manufacture_of_loaded_electronic_boards,,,5.3
2024,manufacture_of_loaded_electronic_boards,,,7.8
2025,manufacture_of_loaded_electronic_boards,,,
2015,manufacture_of_computers_and_peripheral_equipment,,,
2016,manufacture_of_computers_and_peripheral_equipment,,,
2017,manufacture_of_computers_and_peripheral_equipment,,,
2018,manufacture_of_computers_and_peripheral_equipment,,,
2019,manufacture_of_computers_and_peripheral_equipment,,,
2020,manufacture_of_computers_and_peripheral_equipment,,,
2021,manufacture_of_computers_and_peripheral_equipment,,,13.9
2022,manufacture_of_computers_and_peripheral_equipment,,,12.9
2023,manufacture_of_computers_and_peripheral_equipment,,,16.1
2024,manufacture_of_computers_and_peripheral_equipment,,,14.4
2025,manufacture_of_computers_and_peripheral_equipment,,,
2015,manufacture_of_communication_equipment,,,
2016,manufacture_of_communication_equipment,,,
2017,manufacture_of_communication_equipment,,,
2018,manufacture_of_communication_equipment,,,
2019,manufacture_of_communication_equipment,,,
2020,manufacture_of_communication_equipment,,,
2021,manufacture_of_communication_equipment,,,7.5
2022,manufacture_of_communication_equipment,,,4.7
2023,manufacture_of_communication_equipment,,,6.7
2024,manufacture_of_communication_equipment,,,14.7
2025,manufacture_of_communication_equipment,,,
2015,manufacture_of_consumer_electronics,,,
2016,manufacture_of_consumer_electronics,,,
2017,manufacture_of_consumer_electronics,,,
2018,manufacture_of_consumer_electronics,,,
2019,manufacture_of_consumer_electronics,,,
2020,manufacture_of_consumer_electronics,,,
2021,manufacture_of_consumer_electronics,,,6.7
2022,manufacture_of_consumer_electronics,,,13.8
2023,manufacture_of_consumer_electronics,,,7.7
2024,manufacture_of_consumer_electronics,,,9.4
2025,manufacture_of_consumer_electronics,,,
