Year,Infectious diseases,Age,Region,Value
2016,ill_3_m_m_r,age_vac_1_under_1_year,,88.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,54.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,52.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,46.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,58
2021,ill_3_m_m_r,age_vac_1_under_1_year,,7.2
2022,ill_3_m_m_r,age_vac_1_under_1_year,,9.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,0.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,49.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,23.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,87.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,,15.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,,37.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,14.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,55.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,0.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,19.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,63.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,78.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,68.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,78.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,11.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,27.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,30.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,84.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,29.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,24.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,18.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,19.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,0.1
2022,ill_3_m_m_r,age_vac_1_under_1_year,,0.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,40.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,,37.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,80.9
2017,ill_3_m_m_r,age_vac_1_under_1_year,,43
2018,ill_3_m_m_r,age_vac_1_under_1_year,,49.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,28.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,48.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,32.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,46.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,99.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,29.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,34.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,21.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,,57.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,,11.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,6.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,36.9
2015,ill_3_m_m_r,age_vac_1_under_1_year,,47.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,78.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,71.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,,72.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,,27.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,10.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,45.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,93.5
2016,ill_3_m_m_r,age_vac_1_under_1_year,,86.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,39
2018,ill_3_m_m_r,age_vac_1_under_1_year,,40.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,32.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,55.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,25.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,,49.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,83.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,34.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,58.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,30.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,,32.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,5
2023,ill_3_m_m_r,age_vac_1_under_1_year,,0.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,44.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,71.2
2016,ill_3_m_m_r,age_vac_1_under_1_year,,94.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,57.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,,67.2
2019,ill_3_m_m_r,age_vac_1_under_1_year,,23.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,26.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,0.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,41.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,85.5
2016,ill_3_m_m_r,age_vac_1_under_1_year,,101.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,34.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,50.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,33.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,52.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,43.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,108.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,107.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,64.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,46.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,65.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,61
2021,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,7.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,7.5
2023,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,3.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,75.1
2015,ill_3_m_m_r,age_vac_1_under_1_year,,31
2016,ill_3_m_m_r,age_vac_1_under_1_year,,418
2017,ill_3_m_m_r,age_vac_1_under_1_year,,6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,14
2019,ill_3_m_m_r,age_vac_1_under_1_year,,..
2020,ill_3_m_m_r,age_vac_1_under_1_year,,..18
2021,ill_3_m_m_r,age_vac_1_under_1_year,,.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,.16
2023,ill_3_m_m_r,age_vac_1_under_1_year,,.
2024,ill_3_m_m_r,age_vac_1_under_1_year,,1
2015,ill_3_m_m_r,age_vac_1_under_1_year,,60.91566577939363
2016,ill_3_m_m_r,age_vac_1_under_1_year,,66.88819412411232
2017,ill_3_m_m_r,age_vac_1_under_1_year,,86.08769689229459
2018,ill_3_m_m_r,age_vac_1_under_1_year,,80.526816705856
2019,ill_3_m_m_r,age_vac_1_under_1_year,,21.502280066187954
2020,ill_3_m_m_r,age_vac_1_under_1_year,,23.680238584495644
2021,ill_3_m_m_r,age_vac_1_under_1_year,,58.75845806607684
2022,ill_3_m_m_r,age_vac_1_under_1_year,,55.85636570507502
2023,ill_3_m_m_r,age_vac_1_under_1_year,,20.596502857586447
2024,ill_3_m_m_r,age_vac_1_under_1_year,,36.692999751903166
2015,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,61.2
2016,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,65.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,87.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,81.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,12.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,18.4
2021,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,58
2022,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,63.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,34.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,28.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,54.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,61.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,84.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,73
2019,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,7.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,18.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,50.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,42.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,8
