Year,Type of economic activity,Organisation and legal forms,Region,Value
2023,A294,,,21.0
2024,A294,,,21.1
2025,A294,,,24.2
2022,A295,,,10.2
2023,A295,,,9.9
2024,A295,,,10.5
2025,A295,,,11.7
2022,A296,,,18.9
2023,A296,,,19.0
2024,A296,,,18.0
2025,A296,,,18.8
2022,A297,,,14.1
2023,A297,,,15.7
2024,A297,,,13.3
2025,A297,,,13.5
2022,A298,,,20.7
2023,A298,,,20.6
2024,A298,,,20.9
2025,A298,,,21.9
2022,A299,,,16.9
2023,A299,,,16.9
2024,A299,,,17.0
2025,A299,,,17.6
2022,A300,,,13.6
2023,A300,,,14.1
2024,A300,,,14.4
2025,A300,,,14.7
2022,A301,,,14.6
2023,A301,,,14.6
2024,A301,,,15.1
2025,A301,,,17.2
2022,A302,,,21.3
2023,A302,,,20.5
2024,A302,,,19.3
2025,A302,,,19.4
2022,A303,,,15.9
2023,A303,,,16.2
2024,A303,,,16.4
2025,A303,,,17.1
2022,A304,,,15.7
2023,A304,,,15.9
2024,A304,,,16.3
2025,A304,,,17.3
2022,A305,,,15.1
2023,A305,,,14.4
2024,A305,,,14.2
2025,A305,,,16.2
2022,A306,,,19.1
2023,A306,,,18.5
2024,A306,,,18.2
2025,A306,,,18.3
2022,A307,,,15.8
2023,A307,,,15.8
2024,A307,,,17.5
2025,A307,,,18.3
2022,A308,,,16.6
2023,A308,,,17.8
2024,A308,,,18.6
2025,A308,,,19.2
2022,A309,,,13.0
2023,A309,,,11.4
2024,A309,,,11.4
2025,A309,,,13.0
2022,A310,,,14.8
2023,A310,,,15.3
2024,A310,,,15.6
2025,A310,,,16.7
2022,A311,,,15.6
2023,A311,,,15.6
2024,A311,,,15.7
2025,A311,,,16.3
2022,A312,,,16.0
2023,A312,,,16.4
2024,A312,,,17.3
2025,A312,,,18.1
2022,A313,,,17.6
2023,A313,,,18.1
2024,A313,,,18.2
2025,A313,,,18.9
2022,A314,,,19.1
2023,A314,,,18.8
2024,A314,,,19.9
2025,A314,,,20.1
2022,A315,,,16.4
2023,A315,,,16.1
2024,A315,,,15.6
2025,A315,,,17.2
2022,A316,,,17.6
2023,A316,,,16.4
2024,A316,,,16.6
2025,A316,,,17.5
2022,A317,,,18.9
2023,A317,,,19.3
2024,A317,,,19.2
2025,A317,,,21.1
2022,A318,,,13.2
2023,A318,,,13.5
2024,A318,,,12.9
2025,A318,,,13.3
2022,A319,,,16.3
2023,A319,,,16.0
2024,A319,,,16.1
2025,A319,,,17.2
2022,A320,,,19.7
2023,A320,,,19.5
2024,A320,,,19.8
2025,A320,,,21.6
2022,A321,,,17.5
2023,A321,,,18.3
2024,A321,,,17.0
2025,A321,,,18.0
2022,A322,,,16.7
2023,A322,,,16.9
2024,A322,,,17.0
2025,A322,,,17.7
2022,A323,,,21.1
2023,A323,,,20.9
2024,A323,,,20.8
2025,A323,,,21.8
2022,A324,,,17.7
2023,A324,,,17.5
2024,A324,,,18.3
2025,A324,,,19.4
2022,A325,,,14.3
2023,A325,,,14.0
2024,A325,,,16.2
2025,A325,,,18.9
2022,A326,,,25.4
2023,A326,,,25.2
2024,A326,,,24.9
2025,A326,,,25.2
2022,A327,,,20.9
2023,A327,,,20.6
2024,A327,,,20.5
2025,A327,,,20.5
2022,A328,,,21.8
2023,A328,,,20.4
2024,A328,,,20.1
2025,A328,,,20.8
2022,A329,,,18.2
2023,A329,,,18.3
2024,A329,,,18.8
2025,A329,,,18.9
2022,A330,,,24.2
2023,A330,,,24.0
2024,A330,,,23.2
2025,A330,,,23.8
2022,A331,,,35.3
2023,A331,,,33.5
2024,A331,,,31.3
2025,A331,,,33.7
2022,A332,,,27.5
2023,A332,,,27.6
2024,A332,,,27.4
2025,A332,,,28.1
2022,A333,,,27.1
2023,A333,,,27.3
2024,A333,,,27.6
2025,A333,,,27.9
2022,A334,,,27.4
2023,A334,,,27.3
2024,A334,,,27.3
2025,A334,,,27.6
2022,A335,,,23.4
2023,A335,,,23.4
2024,A335,,,22.8
2025,A335,,,23.3
2022,A336,,,33.0
2023,A336,,,32.9
2024,A336,,,32.4
2025,A336,,,31.7
2022,A337,,,23.8
2023,A337,,,22.0
2024,A337,,,20.4
2025,A337,,,21.2
2022,A338,,,27.5
2023,A338,,,27.5
2024,A338,,,26.6
2025,A338,,,25.9
2022,A339,,,24.7
2023,A339,,,24.5
2024,A339,,,23.3
2025,A339,,,23.3
2022,A340,,,26.4
2023,A340,,,26.5
2024,A340,,,23.8
2025,A340,,,23.6
2022,A341,,,25.9
2023,A341,,,25.8
2024,A341,,,25.0
2025,A341,,,25.5
2022,A342,,,25.1
2023,A342,,,24.5
2024,A342,,,24.1
2025,A342,,,24.6
2022,A343,,,22.7
2023,A343,,,23.5
2024,A343,,,22.4
2025,A343,,,22.5
2022,A344,,,28.6
2023,A344,,,27.9
2024,A344,,,27.8
2025,A344,,,27.7
2022,A345,,,26.2
2023,A345,,,26.1
2024,A345,,,26.0
2025,A345,,,26.2
2022,A346,,,26.2
2023,A346,,,26.0
2024,A346,,,25.4
2025,A346,,,25.8
2022,A347,,,25.7
2023,A347,,,26.0
2024,A347,,,25.5
2025,A347,,,26.2
2022,A348,,,30.5
2023,A348,,,30.1
2024,A348,,,28.3
2025,A348,,,30.5
2022,A349,,,31.1
2023,A349,,,30.7
2024,A349,,,30.2
2025,A349,,,30.9
2022,A350,,,19.9
2023,A350,,,19.9
2024,A350,,,20.2
2025,A350,,,21.2
2022,A351,,,28.9
2023,A351,,,28.8
2024,A351,,,27.9
2025,A351,,,27.7
2022,A352,,,40.0
2023,A352,,,40.5
2024,A352,,,39.9
2025,A352,,,41.1
2022,A353,,,31.0
2023,A353,,,31.1
2024,A353,,,30.9
2025,A353,,,32.0
2022,A354,,,25.4
2023,A354,,,25.8
2024,A354,,,25.4
2025,A354,,,26.6
2022,A355,,,42.9
2023,A355,,,42.9
2024,A355,,,45.1
2025,A355,,,47.6
2022,A356,,,26.9
2023,A356,,,26.5
2024,A356,,,26.5
2025,A356,,,28.2
2022,A357,,,16.7
2023,A357,,,17.0
2024,A357,,,16.8
2025,A357,,,18.9
2022,A358,,,22.3
2023,A358,,,22.6
2024,A358,,,23.0
2025,A358,,,23.9
2022,A359,,,18.5
2023,A359,,,18.8
2024,A359,,,18.6
2025,A359,,,19.0
2022,A360,,,19.6
2023,A360,,,19.5
2024,A360,,,20.1
2025,A360,,,21.1
2022,A361,,,18.6
2023,A361,,,18.5
2024,A361,,,19.6
2025,A361,,,20.8
2022,A362,,,25.7
2023,A362,,,27.0
2024,A362,,,28.9
2025,A362,,,30.9
2022,A363,,,25.2
2023,A363,,,25.8
2024,A363,,,28.4
2025,A363,,,28.9
2022,A364,,,26.0
2023,A364,,,26.2
2024,A364,,,25.9
2025,A364,,,26.3
2022,A365,,,20.7
2023,A365,,,20.9
2024,A365,,,20.9
2025,A365,,,22.0
2022,A366,,,20.3
2023,A366,,,20.5
2024,A366,,,20.2
2025,A366,,,21.0
2022,A367,,,21.4
2023,A367,,,21.4
2024,A367,,,21.9
2025,A367,,,22.7
2022,A368,,,21.4
2023,A368,,,21.4
2024,A368,,,21.7
2025,A368,,,22.6
2022,A369,,,19.7
2023,A369,,,20.1
2024,A369,,,20.4
2025,A369,,,21.7
2022,A370,,,23.5
2023,A370,,,23.6
2024,A370,,,23.2
2025,A370,,,24.2
2022,A371,,,23.4
2023,A371,,,23.0
2024,A371,,,22.2
2025,A371,,,23.3
2022,A372,,,21.0
2023,A372,,,20.7
2024,A372,,,20.4
2025,A372,,,21.8
2022,A373,,,27.5
2023,A373,,,27.5
2024,A373,,,27.4
2025,A373,,,27.8
2022,A374,,,44.5
2023,A374,,,43.9
2024,A374,,,43.5
2025,A374,,,43.5
2022,A375,,,34.8
2023,A375,,,34.6
2024,A375,,,34.5
2025,A375,,,34.8
2022,A376,,,28.0
2023,A376,,,27.5
2024,A376,,,25.1
2025,A376,,,26.0
2022,A377,,,27.8
2023,A377,,,27.4
2024,A377,,,25.1
2025,A377,,,26.4
2022,A378,,,33.9
2023,A378,,,31.9
2024,A378,,,33.6
2025,A378,,,34.7
2022,A379,,,40.0
2023,A379,,,40.1
2024,A379,,,38.3
2025,A379,,,38.3
2022,A380,,,36.2
2023,A380,,,36.5
2024,A380,,,37.2
2025,A380,,,37.4
2022,A381,,,32.8
2023,A381,,,33.9
2024,A381,,,31.3
2025,A381,,,31.7
2022,A382,,,33.7
2023,A382,,,32.8
2024,A382,,,33.4
2025,A382,,,33.2
2022,A383,,,22.4
2023,A383,,,22.1
2024,A383,,,22.7
2025,A383,,,22.8
2022,A384,,,17.3
2023,A384,,,16.4
2024,A384,,,16.1
2025,A384,,,18.6
2022,A385,,,16.4
2023,A385,,,16.1
2024,A385,,,19.5
2025,A385,,,18.6
2022,A386,,,24.1
2023,A386,,,23.4
2024,A386,,,21.7
2025,A386,,,22.1
2022,A387,,,44.7
2023,A387,,,45.0
2024,A387,,,39.7
2025,A387,,,39.4
2022,A388,,,24.7
2023,A388,,,24.4
2024,A388,,,24.2
2025,A388,,,24.6
2022,A389,,,30.0
2023,A389,,,28.2
2024,A389,,,27.8
2025,A389,,,31.0
2022,A390,,,19.3
2023,A390,,,18.4
2024,A390,,,18.0
2025,A390,,,19.0
2022,A391,,,34.5
2023,A391,,,34.7
2024,A391,,,35.0
2025,A391,,,34.5
2022,A392,,,53.5
2023,A392,,,54.1
2024,A392,,,56.2
2025,A392,,,55.6
2022,A393,,,40.3
2023,A393,,,39.8
2024,A393,,,38.4
2025,A393,,,37.7
2022,A394,,,15.4
2023,A394,,,7.7
2024,A394,,,7.1
2025,A394,,,14.3
2022,A395,,,24.4
2023,A395,,,23.9
2024,A395,,,23.1
2025,A395,,,23.7
2022,A396,,,39.2
2023,A396,,,37.6
2024,A396,,,34.1
2025,A396,,,33.7
2022,A397,,,42.9
2023,A397,,,42.5
2024,A397,,,40.6
2025,A397,,,40.8
2022,A398,,,38.9
2023,A398,,,42.2
2024,A398,,,40.1
2025,A398,,,41.7
2022,A399,,,48.9
2023,A399,,,48.6
2024,A399,,,47.7
2025,A399,,,47.7
2022,A400,,,33.3
2023,A400,,,33.5
2024,A400,,,34.3
2025,A400,,,34.7
2022,A401,,,49.6
2023,A401,,,49.1
2024,A401,,,48.1
2025,A401,,,47.4
2022,A402,,,40.0
2023,A402,,,40.3
2024,A402,,,38.9
2025,A402,,,41.1
2022,A403,,,47.6
2023,A403,,,47.9
2024,A403,,,47.1
2025,A403,,,46.6
2022,A404,,,30.2
2023,A404,,,29.9
2024,A404,,,30.2
2025,A404,,,29.9
2022,A405,,,36.5
2023,A405,,,35.7
2024,A405,,,35.5
2025,A405,,,35.8
2022,A406,,,27.7
2023,A406,,,25.9
2024,A406,,,26.4
2025,A406,,,27.5
2022,A407,,,28.8
2023,A407,,,28.2
2024,A407,,,29.2
2025,A407,,,29.2
2022,A408,,,31.0
2023,A408,,,31.0
2024,A408,,,31.8
2025,A408,,,31.2
2022,A409,,,29.1
2023,A409,,,26.9
2024,A409,,,26.2
2025,A409,,,26.9
2022,A410,,,27.9
2023,A410,,,27.9
2024,A410,,,28.7
2025,A410,,,28.9
2022,A411,,,18.2
2023,A411,,,18.2
2024,A411,,,18.2
2025,A411,,,18.2
2022,A412,,,27.2
2023,A412,,,26.5
2024,A412,,,26.5
2025,A412,,,27.3
2022,A413,,,17.9
2023,A413,,,18.1
2024,A413,,,18.7
2025,A413,,,18.7
2022,A414,,,22.2
2023,A414,,,21.4
2024,A414,,,20.5
2025,A414,,,20.9
2022,A415,,,21.3
2023,A415,,,21.5
2024,A415,,,21.5
2025,A415,,,22.6
2022,A416,,,22.2
2023,A416,,,22.2
2024,A416,,,22.5
2025,A416,,,23.1
2022,A417,,,18.4
2023,A417,,,19.8
2024,A417,,,20.1
2025,A417,,,22.0
2022,A418,,,2.8
2023,A418,,,5.9
2024,A418,,,6.1
2025,A418,,,11.4
2022,A419,,,19.7
2023,A419,,,19.7
2024,A419,,,21.2
2025,A419,,,18.4
2022,A420,,,26.7
2023,A420,,,25.5
2024,A420,,,25.3
2025,A420,,,26.4
2022,A421,,,26.0
2023,A421,,,25.5
2024,A421,,,27.8
2025,A421,,,25.9
2022,A422,,,15.9
2023,A422,,,17.6
2024,A422,,,17.6
2025,A422,,,19.0
2022,A423,,,15.9
2023,A423,,,14.6
2024,A423,,,14.9
2025,A423,,,14.5
2022,A424,,,16.7
2023,A424,,,14.5
2024,A424,,,12.1
2025,A424,,,11.2
2022,A425,,,20.4
2023,A425,,,20.7
2024,A425,,,20.6
2025,A425,,,21.2
2022,A426,,,20.7
2023,A426,,,20.7
2024,A426,,,21.4
2025,A426,,,23.1
2022,A427,,,19.4
2023,A427,,,18.7
2024,A427,,,18.7
2025,A427,,,18.8
2022,A428,,,24.9
2023,A428,,,24.9
2024,A428,,,22.7
2025,A428,,,21.6
2022,A429,,,23.7
2023,A429,,,23.8
2024,A429,,,22.5
2025,A429,,,22.7
2022,A430,,,28.6
2023,A430,,,28.6
2024,A430,,,29.2
2025,A430,,,30.4
2022,A431,,,25.0
2023,A431,,,25.0
2024,A431,,,20.0
2025,A431,,,20.0
2022,A432,,,26.0
2023,A432,,,25.6
2024,A432,,,24.8
2025,A432,,,24.6
2022,A433,,,36.9
2023,A433,,,36.7
2024,A433,,,36.5
2025,A433,,,36.9
2022,A434,,,36.5
2023,A434,,,37.2
2024,A434,,,37.0
2025,A434,,,37.1
2022,A435,,,26.6
2023,A435,,,26.1
2024,A435,,,29.2
2025,A435,,,28.0
2022,A436,,,41.5
2023,A436,,,41.8
2024,A436,,,43.8
2025,A436,,,44.0
2022,A437,,,40.6
2023,A437,,,39.8
2024,A437,,,38.3
2025,A437,,,39.2
2022,A438,,,42.9
2023,A438,,,40.3
2024,A438,,,40.8
2025,A438,,,39.7
2022,A439,,,52.6
2023,A439,,,50.9
2024,A439,,,48.9
2025,A439,,,48.5
2022,A440,,,43.6
2023,A440,,,42.8
2024,A440,,,42.2
2025,A440,,,43.5
2022,A441,,,34.9
2023,A441,,,34.4
2024,A441,,,35.0
2025,A441,,,37.3
2022,A442,,,38.3
2023,A442,,,40.0
2024,A442,,,40.0
2025,A442,,,38.3
2022,A443,,,44.4
2023,A443,,,43.6
2024,A443,,,43.5
2025,A443,,,43.6
2022,A444,,,40.4
2023,A444,,,40.1
2024,A444,,,40.2
2025,A444,,,40.7
2022,A445,,,27.5
2023,A445,,,27.4
2024,A445,,,27.6
2025,A445,,,28.1
2022,A446,,,18.2
2023,A446,,,18.6
2024,A446,,,19.3
2025,A446,,,21.9
2022,A447,,,22.1
2023,A447,,,21.6
2024,A447,,,20.9
2025,A447,,,20.4
2022,A448,,,33.5
2023,A448,,,33.5
2024,A448,,,33.0
2025,A448,,,33.4
2022,A449,,,29.8
2023,A449,,,31.4
2024,A449,,,32.8
2025,A449,,,33.3
2022,A450,,,30.5
2023,A450,,,24.5
2024,A450,,,26.0
2025,A450,,,29.1
2022,A451,,,43.1
2023,A451,,,44.1
2024,A451,,,45.7
2025,A451,,,45.6
2022,A452,,,27.9
2023,A452,,,27.9
2024,A452,,,24.8
2025,A452,,,26.1
2022,A453,,,41.0
2023,A453,,,40.9
2024,A453,,,40.4
2025,A453,,,40.6
2022,A454,,,28.2
2023,A454,,,27.7
2024,A454,,,28.7
2025,A454,,,27.7
2022,A455,,,17.4
2023,A455,,,17.4
2024,A455,,,16.9
2025,A455,,,18.3
2022,A456,,,23.7
2023,A456,,,23.9
2024,A456,,,24.5
2025,A456,,,25.9
2022,A457,,,17.9
2023,A457,,,19.5
2024,A457,,,17.1
2025,A457,,,18.6
2022,A458,,,22.5
2023,A458,,,22.7
2024,A458,,,23.3
2025,A458,,,20.7
2022,A459,,,23.7
2023,A459,,,23.4
2024,A459,,,22.1
2025,A459,,,23.6
2022,A460,,,24.3
2023,A460,,,24.4
2024,A460,,,24.4
2025,A460,,,25.8
2022,A461,,,21.6
2023,A461,,,21.8
2024,A461,,,22.5
2025,A461,,,25.6
2022,A462,,,22.7
2023,A462,,,22.6
2024,A462,,,22.4
2025,A462,,,23.3
2022,A463,,,26.0
2023,A463,,,26.0
2024,A463,,,25.9
2025,A463,,,27.0
2022,A464,,,25.6
2023,A464,,,24.1
2024,A464,,,24.9
2025,A464,,,27.3
2022,A465,,,32.5
2023,A465,,,31.0
2024,A465,,,30.7
2025,A465,,,31.2
2022,A466,,,30.9
2023,A466,,,30.0
2024,A466,,,30.2
2025,A466,,,31.3
2022,A467,,,40.0
2023,A467,,,40.0
2024,A467,,,57.1
2025,A467,,,50.0
2022,A468,,,32.6
2023,A468,,,32.9
2024,A468,,,32.4
2025,A468,,,32.5
2022,A469,,,24.0
2023,A469,,,21.8
2024,A469,,,21.5
2025,A469,,,22.4
2022,A470,,,30.6
2023,A470,,,28.6
2024,A470,,,25.8
2025,A470,,,23.1
2022,A471,,,22.8
2023,A471,,,21.8
2024,A471,,,20.9
2025,A471,,,21.4
2022,A472,,,35.9
2023,A472,,,35.9
2024,A472,,,35.8
2025,A472,,,36.5
2022,A473,,,26.9
2023,A473,,,27.0
2024,A473,,,26.9
2025,A473,,,26.9
2022,A474,,,28.4
2023,A474,,,26.2
2024,A474,,,27.3
2025,A474,,,23.4
2022,A475,,,28.1
2023,A475,,,28.2
2024,A475,,,29.3
2025,A475,,,28.4
2022,A476,,,16.7
2023,A476,,,16.7
2024,A476,,,16.7
2025,A476,,,20.0
2022,A477,,,31.5
2023,A477,,,31.8
2024,A477,,,39.8
2025,A477,,,39.8
2022,A478,,,23.4
2023,A478,,,22.6
2024,A478,,,21.1
2025,A478,,,19.6
2022,A479,,,25.6
2023,A479,,,25.3
2024,A479,,,25.2
2025,A479,,,25.9
2022,A480,,,26.7
2023,A480,,,26.4
2024,A480,,,25.5
2025,A480,,,23.7
2022,A481,,,23.0
2023,A481,,,22.8
2024,A481,,,23.3
2025,A481,,,23.9
2022,A482,,,30.5
2023,A482,,,30.3
2024,A482,,,30.5
2025,A482,,,30.4
2022,A483,,,30.1
2023,A483,,,29.6
2024,A483,,,29.0
2025,A483,,,31.5
2022,A484,,,35.3
2023,A484,,,32.7
2024,A484,,,31.9
2025,A484,,,29.8
2022,A485,,,28.7
2023,A485,,,28.8
2024,A485,,,28.7
2025,A485,,,29.8
2022,A486,,,36.2
2023,A486,,,36.2
2024,A486,,,36.3
2025,A486,,,37.5
2022,A487,,,38.9
2023,A487,,,38.4
2024,A487,,,38.0
2025,A487,,,38.2
2022,A488,,,37.7
2023,A488,,,37.5
2024,A488,,,37.4
2025,A488,,,37.8
2022,A489,,,31.0
2023,A489,,,31.0
2024,A489,,,30.8
2025,A489,,,31.5
2022,A490,,,60.6
2023,A490,,,59.5
2024,A490,,,59.6
2025,A490,,,59.9
2022,A491,,,17.4
2023,A491,,,16.4
2024,A491,,,16.4
2025,A491,,,15.3
2022,A492,,,37.8
2023,A492,,,37.9
2024,A492,,,37.6
2025,A492,,,37.2
2022,A493,,,32.3
2023,A493,,,32.3
2024,A493,,,31.5
2025,A493,,,32.1
2022,A494,,,28.8
2023,A494,,,28.8
2024,A494,,,28.2
2025,A494,,,29.4
2022,A495,,,24.9
2023,A495,,,24.7
2024,A495,,,25.0
2025,A495,,,25.9
2022,A496,,,24.9
2023,A496,,,25.4
2024,A496,,,25.3
2025,A496,,,26.0
2022,A497,,,25.9
2023,A497,,,24.3
2024,A497,,,25.3
2025,A497,,,26.8
2022,A498,,,18.7
2023,A498,,,19.0
2024,A498,,,19.3
2025,A498,,,19.7
2022,A499,,,31.5
2023,A499,,,32.1
2024,A499,,,31.2
2025,A499,,,32.7
2022,A500,,,33.9
2023,A500,,,33.6
2024,A500,,,33.4
2025,A500,,,34.2
2022,A501,,,34.6
2023,A501,,,34.8
2024,A501,,,34.4
2025,A501,,,35.2
2022,A502,,,35.2
2023,A502,,,34.6
2024,A502,,,34.4
2025,A502,,,35.2
2022,A503,,,41.2
2023,A503,,,41.2
2024,A503,,,40.8
2025,A503,,,41.6
2022,A504,,,33.8
2023,A504,,,32.9
2024,A504,,,32.7
2025,A504,,,34.8
2022,A505,,,50.9
2023,A505,,,50.1
2024,A505,,,49.1
2025,A505,,,51.0
2022,A506,,,26.7
2023,A506,,,27.3
2024,A506,,,27.7
2025,A506,,,28.4
2022,A507,,,35.1
2023,A507,,,35.9
2024,A507,,,38.6
2025,A507,,,40.6
2022,A508,,,22.2
2023,A508,,,22.4
2024,A508,,,22.2
2025,A508,,,23.3
2022,A509,,,29.3
2023,A509,,,29.3
2024,A509,,,29.2
2025,A509,,,30.9
2022,A510,,,27.0
2023,A510,,,29.8
2024,A510,,,26.6
2025,A510,,,30.0
2022,A511,,,50.0
2023,A511,,,50.0
2024,A511,,,40.0
2025,A511,,,40.0
2022,A512,,,31.4
2023,A512,,,33.9
2024,A512,,,37.6
2025,A512,,,37.8
2022,A513,,,23.3
2023,A513,,,23.9
2024,A513,,,24.8
2025,A513,,,23.3
2022,A514,,,24.0
2023,A514,,,23.1
2024,A514,,,23.0
2025,A514,,,23.7
2022,A515,,,32.0
2023,A515,,,32.4
2024,A515,,,31.0
2025,A515,,,31.6
2022,A516,,,9.1
2023,A516,,,13.8
2024,A516,,,15.6
2025,A516,,,17.2
2022,A517,,,30.4
2023,A517,,,26.9
2024,A517,,,20.0
2025,A517,,,25.0
2022,A518,,,28.2
2023,A518,,,27.9
2024,A518,,,27.9
2025,A518,,,29.2
2022,A519,,,30.0
2023,A519,,,32.0
2024,A519,,,32.4
2025,A519,,,35.7
2022,A520,,,39.5
2023,A520,,,39.6
2024,A520,,,39.4
2025,A520,,,39.0
2022,A521,,,46.5
2023,A521,,,46.6
2024,A521,,,46.4
2025,A521,,,46.2
2022,A522,,,42.8
2023,A522,,,42.3
2024,A522,,,42.6
2025,A522,,,43.7
2022,A523,,,58.1
2023,A523,,,57.9
2024,A523,,,57.0
2025,A523,,,57.1
2022,A524,,,58.9
2023,A524,,,58.5
2024,A524,,,57.4
2025,A524,,,57.7
2022,A525,,,36.4
2023,A525,,,37.4
2024,A525,,,36.9
2025,A525,,,38.2
2022,A526,,,13.1
2023,A526,,,13.3
2024,A526,,,13.6
2025,A526,,,14.4
2022,A527,,,15.9
2023,A527,,,15.9
2024,A527,,,16.5
2025,A527,,,17.7
2022,A528,,,13.1
2023,A528,,,13.9
2024,A528,,,13.7
2025,A528,,,13.5
2022,A529,,,44.2
2023,A529,,,44.2
2024,A529,,,44.4
2025,A529,,,44.9
2022,A530,,,37.2
2023,A530,,,36.5
2024,A530,,,35.9
2025,A530,,,36.7
2022,A531,,,29.0
2023,A531,,,29.3
2024,A531,,,29.2
2025,A531,,,30.8
2022,A532,,,28.1
2023,A532,,,27.9
2024,A532,,,27.5
2025,A532,,,27.4
2022,A533,,,30.2
2023,A533,,,31.4
2024,A533,,,30.6
2025,A533,,,30.5
2022,A534,,,33.8
2023,A534,,,33.6
2024,A534,,,33.5
2025,A534,,,37.0
2022,A535,,,47.0
2023,A535,,,44.3
2024,A535,,,42.4
2025,A535,,,38.1
2022,A536,,,33.9
2023,A536,,,32.3
2024,A536,,,31.6
2025,A536,,,31.6
2022,A537,,,42.1
2023,A537,,,42.5
2024,A537,,,41.6
2025,A537,,,42.0
2022,A538,,,17.0
2023,A538,,,15.3
2024,A538,,,19.9
2025,A538,,,21.6
2022,A539,,,29.9
2023,A539,,,29.6
2024,A539,,,29.3
2025,A539,,,29.1
2022,A540,,,30.8
2023,A540,,,30.5
2024,A540,,,30.2
2025,A540,,,30.5
2022,A541,,,60.9
2023,A541,,,61.3
2024,A541,,,62.1
2025,A541,,,62.8
2022,A542,,,74.7
2023,A542,,,74.9
2024,A542,,,76.4
2025,A542,,,76.2
2022,A543,,,31.0
2023,A543,,,32.6
2024,A543,,,35.6
2025,A543,,,40.0
2022,A544,,,24.7
2023,A544,,,25.3
2024,A544,,,26.7
2025,A544,,,29.8
2022,A545,,,5.7
2023,A545,,,7.6
2024,A545,,,4.9
2025,A545,,,5.3
2022,A546,,,52.1
2023,A546,,,52.9
2024,A546,,,51.1
2025,A546,,,50.2
2022,A547,,,3.2
2023,A547,,,3.6
2024,A547,,,4.0
2025,A547,,,4.3
2022,A548,,,4.3
2023,A548,,,4.5
2024,A548,,,4.6
2025,A548,,,4.2
2022,A549,,,55.4
2023,A549,,,57.0
2024,A549,,,61.2
2025,A549,,,64.8
2022,A550,,,98.2
2023,A550,,,98.2
2024,A550,,,98.2
2025,A550,,,98.1
2022,A551,,,87.6
2023,A551,,,88.1
2024,A551,,,87.5
2025,A551,,,87.3
2022,A552,,,72.9
2023,A552,,,73.4
2024,A552,,,74.0
2025,A552,,,74.3
2022,A553,,,31.2
2023,A553,,,31.8
2024,A553,,,32.2
2025,A553,,,33.0
2022,A554,,,40.5
2023,A554,,,41.0
2024,A554,,,42.9
2025,A554,,,44.0
2022,A555,,,29.6
2023,A555,,,29.0
2024,A555,,,29.0
2025,A555,,,27.9
2022,A556,,,25.4
2023,A556,,,25.5
2024,A556,,,25.8
2025,A556,,,26.4
2022,A557,,,68.2
2023,A557,,,68.8
2024,A557,,,69.7
2025,A557,,,71.1
2022,A558,,,26.2
2023,A558,,,27.5
2024,A558,,,29.3
2025,A558,,,29.8
2022,A559,,,60.3
2023,A559,,,60.0
2024,A559,,,60.0
2025,A559,,,60.5
2022,A560,,,55.9
2023,A560,,,55.8
2024,A560,,,54.9
2025,A560,,,54.1
2022,A561,,,40.3
2023,A561,,,41.1
2024,A561,,,42.5
2025,A561,,,42.6
2022,A562,,,45.9
2023,A562,,,46.1
2024,A562,,,46.2
2025,A562,,,46.8
2022,A563,,,44.5
2023,A563,,,44.9
2024,A563,,,45.2
2025,A563,,,46.6
2022,A564,,,42.6
2023,A564,,,43.0
2024,A564,,,43.1
2025,A564,,,44.1
2022,A565,,,46.0
2023,A565,,,45.9
2024,A565,,,45.9
2025,A565,,,46.3
2022,A566,,,34.4
2023,A566,,,35.9
2024,A566,,,32.8
2025,A566,,,37.1
2022,A567,,,22.2
2023,A567,,,24.1
2024,A567,,,24.3
2025,A567,,,24.2
2022,A568,,,51.7
2023,A568,,,51.3
2024,A568,,,50.8
2025,A568,,,50.5
2022,A569,,,66.7
2023,A569,,,65.1
2024,A569,,,64.2
2025,A569,,,65.1
2022,A570,,,74.2
2023,A570,,,74.3
2024,A570,,,74.9
2025,A570,,,75.9
2022,A571,,,83.1
2023,A571,,,83.5
2024,A571,,,83.2
2025,A571,,,83.5
2022,A572,,,42.5
2023,A572,,,39.3
2024,A572,,,38.3
2025,A572,,,38.2
2022,A573,,,56.5
2023,A573,,,55.1
2024,A573,,,56.1
2025,A573,,,56.2
2022,A574,,,52.0
2023,A574,,,52.1
2024,A574,,,52.0
2025,A574,,,52.9
2022,A575,,,37.4
2023,A575,,,37.8
2024,A575,,,36.8
2025,A575,,,38.0
2022,A576,,,69.7
2023,A576,,,69.5
2024,A576,,,69.8
2025,A576,,,70.5
2022,A577,,,91.8
2023,A577,,,91.8
2024,A577,,,91.3
2025,A577,,,91.2
2022,A578,,,58.8
2023,A578,,,61.3
2024,A578,,,61.2
2025,A578,,,63.1
2022,A579,,,34.4
2023,A579,,,39.2
2024,A579,,,39.2
2025,A579,,,39.3
2022,A580,,,22.8
2023,A580,,,22.9
2024,A580,,,21.5
2025,A580,,,23.9
2022,A581,,,24.9
2023,A581,,,25.2
2024,A581,,,20.1
2025,A581,,,20.2
2022,A582,,,17.3
2023,A582,,,17.3
2024,A582,,,17.3
2025,A582,,,18.0
2022,A583,,,14.6
2023,A583,,,15.4
2024,A583,,,15.3
2025,A583,,,14.5
2022,A584,,,41.4
2023,A584,,,37.4
2024,A584,,,36.5
2025,A584,,,39.3
2022,A585,,,19.1
